title,type,premiere_date,tmdb_id,original_language,production_countries,runtime_min,genres_tmdb,cast_popularity_max,cast_popularity_mean,crew_popularity_max,is_ip_adaptation,episode_count_s1,episode_runtime_avg_s1,release_cadence,imdb_id,keywords,has_keywords,wiki_views_28d,wiki_has_views,wiki_views_28d_log,imdb_rating_used,imdb_rating_source,imdb_votes_used,tmdb_vote_average,tmdb_vote_count,tmdb_popularity,weeks_top10_global,ever_top10_global,best_rank_global,total_hours_top10_global,total_views_top10_global,first28d_weeks_global,first28d_hours_global,first28d_views_global
Kill Boksoon,film,2023-03-31,849869,ko,KR,137,"Action,Drama,Thriller,Crime",2.5151,2.394,2.6673,0,,,,tt16900880,"female assassin, scissor, gay, lgbt, lesbian",1,292769,1,12.5871426,6.6,film,15310,6.845,486,4.3699,8,1,1,66080000,1200000,4,57680000,0
Mowgli: Legend of the Jungle,film,2018-12-07,407436,en,"GB,US",105,"Adventure,Drama",4.0529,3.253,2.6658,0,,,,tt2388771,"jungle book, one word title, showdown, final showdown, fight to the death",1,961964,1,13.77673335,6.5,film,67737,6.5,2544,4.3092,0,0,0,0,0,0,0,0
The Irishman,film,2019-11-27,398978,en,US,209,"Crime,Drama,History",5.7467,3.935,2.6652,0,,,,tt1302006,"gangster, labor union, nonlinear timeline, criminal as protagonist, killer as protagonist",1,549445,1,13.21666578,7.8,,462523,7.581,7221,5.8285,0,0,0,0,0,0,0,0
Night in Paradise,film,2021-04-09,606523,ko,KR,131,"Crime,Thriller,Action",2.697,2.32,2.6326,0,,,,tt12792418,"island, sister, love, demon, extreme violence",1,146382,1,11.89398175,6.8,film,9399,6.887,284,3.9904,0,0,0,0,0,0,0,0
Carter,film,2022-08-05,800345,ko,KR,132,"Action,Thriller,Crime",2.5789,2.228,2.6171,0,,,,tt21237030,"computer game, target, fight, gun, cia central intelligence agency",1,403,1,6.001414878,5.1,film,10607,6,400,4.0621,4,1,1,64040000,0,4,64040000,0
TAU,film,2018-06-29,411143,en,"LU,US",97,"Science Fiction,Thriller,Horror",9.7465,3.376,2.6106,0,,,,tt4357394,"artificial intelligence, smart house, computer programmer, computer controlled house, kidnapping",1,212776,1,12.26799995,5.8,film,36487,6.165,1322,3.2222,0,0,0,0,0,0,0,0
The Thursday Murder Club,film,2025-08-28,744653,en,US,118,"Comedy,Mystery,Crime",4.1345,3.259,2.5845,0,,,,tt12001534,"community, friend, retirement, murder, detective",1,1205126,1,14.00209551,6.5,,67129,6.621,722,6.4179,4,1,2,108500000,54400000,4,108500000,54400000
The Christmas Chronicles: Part Two,film,2020-11-25,654028,en,US,112,"Family,Fantasy,Adventure,Comedy",3.163,2.239,2.5845,0,,,,tt11057644,"christmas, north pole, brother sister relationship, teenage girl, sequel",1,529900,1,13.18044548,6,film,38397,6.484,1106,5.6428,4,1,9,33790000,0,0,0,0
The Forest of Love,film,2019-10-11,631997,ja,JP,151,"Crime,Thriller",2.3331,2.126,2.5814,0,,,,tt10589914,"parents, student, girl, group, young",1,39380,1,10.58103875,6.2,,3164,6.339,168,3.1019,0,0,0,0,0,0,0,0
The Whole Truth,film,2021-12-02,895001,th,TH,126,"Drama,Horror,Mystery,Thriller",2.6291,2.127,2.5576,0,,,,tt15850662,"voyeurism, ghost of daughter, whodunit, family relationships, dysfunctional family",1,145040,1,11.88477174,5.3,,4976,6.5,238,4.3028,5,1,1,32880000,0,4,30100000,0
Gold Rush Gang,film,2025-08-21,1429739,th,TH,120,"Action,Comedy,Drama,Western",1.6055,0.866,2.5576,0,,,,tt36711248,"world war two, japanese military, world war, west, year 1942",1,,0,,4.1,,321,6.942,26,7.5212,1,1,3,3600000,1800000,1,3600000,1800000
The Prom,film,2020-12-11,611213,en,US,130,"Romance,Comedy",6.3553,2.968,2.5508,0,,,,tt10161886,"prom, reference to cher, gay character, gay bar, gay",1,729242,1,13.49976229,5.9,,30273,6.11,701,4.3794,0,0,0,0,0,0,0,0
Once Upon a Star,film,2023-10-11,1034336,th,TH,138,Drama,1.9505,1.368,2.4926,0,,,,tt22696288,"filmmaker, cinema, dream, life, crew",1,,0,,7,film,511,6.4,15,2.5729,0,0,0,0,0,0,0,0
Bubble,film,2022-04-28,912598,ja,JP,101,"Animation,Adventure,Science Fiction,Fantasy",2.5231,2.267,2.4832,0,,,,tt16360006,"bubble, exploration, power, skyline, love",1,198419,1,12.19814128,6.4,film,9245,7.3,450,5.0219,2,1,3,8830000,0,2,8830000,0
The Bubble,film,2022-04-01,912598,ja,JP,101,"Animation,Adventure,Science Fiction,Fantasy",2.5231,2.267,2.4832,0,,,,tt16360006,"bubble, exploration, power, skyline, love",1,50681,1,10.8333261,6.4,film,9245,7.3,450,5.0219,2,1,2,22400000,0,2,22400000,0
